 frequency       out             out            
 1.00000000e-02 -1.99600783e-03 -6.32068211e-06 
 1.02329299e-02 -1.99600783e-03 -6.46790971e-06 
 1.04712855e-02 -1.99600783e-03 -6.61856669e-06 
 1.07151931e-02 -1.99600784e-03 -6.77273291e-06 
 1.09647820e-02 -1.99600784e-03 -6.93049012e-06 
 1.12201845e-02 -1.99600784e-03 -7.09192198e-06 
 1.14815362e-02 -1.99600784e-03 -7.25711406e-06 
 1.17489755e-02 -1.99600785e-03 -7.42615396e-06 
 1.20226443e-02 -1.99600785e-03 -7.59913131e-06 
 1.23026877e-02 -1.99600785e-03 -7.77613782e-06 
 1.25892541e-02 -1.99600785e-03 -7.95726733e-06 
 1.28824955e-02 -1.99600786e-03 -8.14261590e-06 
 1.31825674e-02 -1.99600786e-03 -8.33228179e-06 
 1.34896288e-02 -1.99600787e-03 -8.52636557e-06 
 1.38038426e-02 -1.99600787e-03 -8.72497013e-06 
 1.41253754e-02 -1.99600787e-03 -8.92820079e-06 
 1.44543977e-02 -1.99600788e-03 -9.13616531e-06 
 1.47910839e-02 -1.99600788e-03 -9.34897394e-06 
 1.51356125e-02 -1.99600789e-03 -9.56673951e-06 
 1.54881662e-02 -1.99600789e-03 -9.78957750e-06 
 1.58489319e-02 -1.99600790e-03 -1.00176061e-05 
 1.62181010e-02 -1.99600790e-03 -1.02509461e-05 
 1.65958691e-02 -1.99600791e-03 -1.04897213e-05 
 1.69824365e-02 -1.99600791e-03 -1.07340583e-05 
 1.73780083e-02 -1.99600792e-03 -1.09840866e-05 
 1.77827941e-02 -1.99600792e-03 -1.12399389e-05 
 1.81970086e-02 -1.99600793e-03 -1.15017507e-05 
 1.86208714e-02 -1.99600794e-03 -1.17696609e-05 
 1.90546072e-02 -1.99600795e-03 -1.20438115e-05 
 1.94984460e-02 -1.99600795e-03 -1.23243479e-05 
 1.99526231e-02 -1.99600796e-03 -1.26114188e-05 
 2.04173794e-02 -1.99600797e-03 -1.29051765e-05 
 2.08929613e-02 -1.99600798e-03 -1.32057767e-05 
 2.13796209e-02 -1.99600799e-03 -1.35133787e-05 
 2.18776162e-02 -1.99600800e-03 -1.38281458e-05 
 2.23872114e-02 -1.99600801e-03 -1.41502447e-05 
 2.29086765e-02 -1.99600802e-03 -1.44798462e-05 
 2.34422882e-02 -1.99600803e-03 -1.48171251e-05 
 2.39883292e-02 -1.99600804e-03 -1.51622603e-05 
 2.45470892e-02 -1.99600805e-03 -1.55154347e-05 
 2.51188643e-02 -1.99600806e-03 -1.58768356e-05 
 2.57039578e-02 -1.99600808e-03 -1.62466547e-05 
 2.63026799e-02 -1.99600809e-03 -1.66250879e-05 
 2.69153480e-02 -1.99600810e-03 -1.70123359e-05 
 2.75422870e-02 -1.99600812e-03 -1.74086041e-05 
 2.81838293e-02 -1.99600814e-03 -1.78141026e-05 
 2.88403150e-02 -1.99600815e-03 -1.82290463e-05 
 2.95120923e-02 -1.99600817e-03 -1.86536554e-05 
 3.01995172e-02 -1.99600819e-03 -1.90881548e-05 
 3.09029543e-02 -1.99600821e-03 -1.95327751e-05 
 3.16227766e-02 -1.99600823e-03 -1.99877518e-05 
 3.23593657e-02 -1.99600825e-03 -2.04533264e-05 
 3.31131121e-02 -1.99600827e-03 -2.09297456e-05 
 3.38844156e-02 -1.99600829e-03 -2.14172620e-05 
 3.46736850e-02 -1.99600832e-03 -2.19161341e-05 
 3.54813389e-02 -1.99600834e-03 -2.24266264e-05 
 3.63078055e-02 -1.99600837e-03 -2.29490097e-05 
 3.71535229e-02 -1.99600839e-03 -2.34835608e-05 
 3.80189396e-02 -1.99600842e-03 -2.40305632e-05 
 3.89045145e-02 -1.99600845e-03 -2.45903069e-05 
 3.98107171e-02 -1.99600848e-03 -2.51630887e-05 
 4.07380278e-02 -1.99600852e-03 -2.57492124e-05 
 4.16869383e-02 -1.99600855e-03 -2.63489886e-05 
 4.26579519e-02 -1.99600859e-03 -2.69627353e-05 
 4.36515832e-02 -1.99600863e-03 -2.75907781e-05 
 4.46683592e-02 -1.99600867e-03 -2.82334499e-05 
 4.57088190e-02 -1.99600871e-03 -2.88910914e-05 
 4.67735141e-02 -1.99600875e-03 -2.95640514e-05 
 4.78630092e-02 -1.99600880e-03 -3.02526866e-05 
 4.89778819e-02 -1.99600884e-03 -3.09573622e-05 
 5.01187234e-02 -1.99600889e-03 -3.16784518e-05 
 5.12861384e-02 -1.99600895e-03 -3.24163378e-05 
 5.24807460e-02 -1.99600900e-03 -3.31714113e-05 
 5.37031796e-02 -1.99600906e-03 -3.39440727e-05 
 5.49540874e-02 -1.99600912e-03 -3.47347317e-05 
 5.62341325e-02 -1.99600918e-03 -3.55438076e-05 
 5.75439937e-02 -1.99600925e-03 -3.63717292e-05 
 5.88843655e-02 -1.99600932e-03 -3.72189356e-05 
 6.02559586e-02 -1.99600939e-03 -3.80858760e-05 
 6.16595002e-02 -1.99600946e-03 -3.89730100e-05 
 6.30957344e-02 -1.99600954e-03 -3.98808080e-05 
 6.45654229e-02 -1.99600963e-03 -4.08097514e-05 
 6.60693448e-02 -1.99600971e-03 -4.17603326e-05 
 6.76082975e-02 -1.99600980e-03 -4.27330557e-05 
 6.91830971e-02 -1.99600990e-03 -4.37284364e-05 
 7.07945784e-02 -1.99601000e-03 -4.47470026e-05 
 7.24435960e-02 -1.99601010e-03 -4.57892941e-05 
 7.41310241e-02 -1.99601021e-03 -4.68558638e-05 
 7.58577575e-02 -1.99601033e-03 -4.79472771e-05 
 7.76247117e-02 -1.99601045e-03 -4.90641126e-05 
 7.94328235e-02 -1.99601057e-03 -5.02069626e-05 
 8.12830516e-02 -1.99601070e-03 -5.13764330e-05 
 8.31763771e-02 -1.99601084e-03 -5.25731439e-05 
 8.51138038e-02 -1.99601098e-03 -5.37977297e-05 
 8.70963590e-02 -1.99601114e-03 -5.50508398e-05 
 8.91250938e-02 -1.99601129e-03 -5.63331386e-05 
 9.12010839e-02 -1.99601146e-03 -5.76453060e-05 
 9.33254301e-02 -1.99601163e-03 -5.89880376e-05 
 9.54992586e-02 -1.99601181e-03 -6.03620455e-05 
 9.77237221e-02 -1.99601200e-03 -6.17680582e-05 
 1.00000000e-01 -1.99601220e-03 -6.32068211e-05 
 1.02329299e-01 -1.99601241e-03 -6.46790971e-05 
 1.04712855e-01 -1.99601263e-03 -6.61856668e-05 
 1.07151931e-01 -1.99601286e-03 -6.77273290e-05 
 1.09647820e-01 -1.99601309e-03 -6.93049012e-05 
 1.12201845e-01 -1.99601334e-03 -7.09192197e-05 
 1.14815362e-01 -1.99601361e-03 -7.25711405e-05 
 1.17489755e-01 -1.99601388e-03 -7.42615395e-05 
 1.20226443e-01 -1.99601417e-03 -7.59913130e-05 
 1.23026877e-01 -1.99601447e-03 -7.77613781e-05 
 1.25892541e-01 -1.99601478e-03 -7.95726732e-05 
 1.28824955e-01 -1.99601511e-03 -8.14261589e-05 
 1.31825674e-01 -1.99601546e-03 -8.33228178e-05 
 1.34896288e-01 -1.99601582e-03 -8.52636555e-05 
 1.38038426e-01 -1.99601620e-03 -8.72497012e-05 
 1.41253754e-01 -1.99601660e-03 -8.92820078e-05 
 1.44543977e-01 -1.99601701e-03 -9.13616529e-05 
 1.47910839e-01 -1.99601745e-03 -9.34897392e-05 
 1.51356125e-01 -1.99601790e-03 -9.56673949e-05 
 1.54881662e-01 -1.99601838e-03 -9.78957748e-05 
 1.58489319e-01 -1.99601888e-03 -1.00176060e-04 
 1.62181010e-01 -1.99601940e-03 -1.02509461e-04 
 1.65958691e-01 -1.99601995e-03 -1.04897213e-04 
 1.69824365e-01 -1.99602052e-03 -1.07340583e-04 
 1.73780083e-01 -1.99602112e-03 -1.09840866e-04 
 1.77827941e-01 -1.99602175e-03 -1.12399388e-04 
 1.81970086e-01 -1.99602241e-03 -1.15017506e-04 
 1.86208714e-01 -1.99602310e-03 -1.17696608e-04 
 1.90546072e-01 -1.99602382e-03 -1.20438114e-04 
 1.94984460e-01 -1.99602458e-03 -1.23243478e-04 
 1.99526231e-01 -1.99602537e-03 -1.26114188e-04 
 2.04173794e-01 -1.99602620e-03 -1.29051765e-04 
 2.08929613e-01 -1.99602706e-03 -1.32057766e-04 
 2.13796209e-01 -1.99602797e-03 -1.35133787e-04 
 2.18776162e-01 -1.99602892e-03 -1.38281457e-04 
 2.23872114e-01 -1.99602992e-03 -1.41502446e-04 
 2.29086765e-01 -1.99603096e-03 -1.44798461e-04 
 2.34422882e-01 -1.99603206e-03 -1.48171251e-04 
 2.39883292e-01 -1.99603320e-03 -1.51622603e-04 
 2.45470892e-01 -1.99603440e-03 -1.55154347e-04 
 2.51188643e-01 -1.99603565e-03 -1.58768356e-04 
 2.57039578e-01 -1.99603696e-03 -1.62466546e-04 
 2.63026799e-01 -1.99603834e-03 -1.66250878e-04 
 2.69153480e-01 -1.99603978e-03 -1.70123358e-04 
 2.75422870e-01 -1.99604129e-03 -1.74086040e-04 
 2.81838293e-01 -1.99604287e-03 -1.78141025e-04 
 2.88403150e-01 -1.99604452e-03 -1.82290462e-04 
 2.95120923e-01 -1.99604625e-03 -1.86536552e-04 
 3.01995172e-01 -1.99604806e-03 -1.90881547e-04 
 3.09029543e-01 -1.99604996e-03 -1.95327749e-04 
 3.16227766e-01 -1.99605195e-03 -1.99877517e-04 
 3.23593657e-01 -1.99605403e-03 -2.04533262e-04 
 3.31131121e-01 -1.99605621e-03 -2.09297454e-04 
 3.38844156e-01 -1.99605849e-03 -2.14172618e-04 
 3.46736850e-01 -1.99606088e-03 -2.19161339e-04 
 3.54813389e-01 -1.99606339e-03 -2.24266262e-04 
 3.63078055e-01 -1.99606601e-03 -2.29490094e-04 
 3.71535229e-01 -1.99606875e-03 -2.34835605e-04 
 3.80189396e-01 -1.99607162e-03 -2.40305629e-04 
 3.89045145e-01 -1.99607463e-03 -2.45903066e-04 
 3.98107171e-01 -1.99607778e-03 -2.51630884e-04 
 4.07380278e-01 -1.99608108e-03 -2.57492120e-04 
 4.16869383e-01 -1.99608454e-03 -2.63489882e-04 
 4.26579519e-01 -1.99608815e-03 -2.69627349e-04 
 4.36515832e-01 -1.99609194e-03 -2.75907777e-04 
 4.46683592e-01 -1.99609591e-03 -2.82334494e-04 
 4.57088190e-01 -1.99610006e-03 -2.88910909e-04 
 4.67735141e-01 -1.99610441e-03 -2.95640508e-04 
 4.78630092e-01 -1.99610896e-03 -3.02526860e-04 
 4.89778819e-01 -1.99611373e-03 -3.09573616e-04 
 5.01187234e-01 -1.99611872e-03 -3.16784511e-04 
 5.12861384e-01 -1.99612395e-03 -3.24163370e-04 
 5.24807460e-01 -1.99612943e-03 -3.31714105e-04 
 5.37031796e-01 -1.99613516e-03 -3.39440718e-04 
 5.49540874e-01 -1.99614116e-03 -3.47347308e-04 
 5.62341325e-01 -1.99614745e-03 -3.55438066e-04 
 5.75439937e-01 -1.99615403e-03 -3.63717281e-04 
 5.88843655e-01 -1.99616092e-03 -3.72189345e-04 
 6.02559586e-01 -1.99616814e-03 -3.80858748e-04 
 6.16595002e-01 -1.99617570e-03 -3.89730087e-04 
 6.30957344e-01 -1.99618361e-03 -3.98808066e-04 
 6.45654229e-01 -1.99619190e-03 -4.08097499e-04 
 6.60693448e-01 -1.99620057e-03 -4.17603310e-04 
 6.76082975e-01 -1.99620966e-03 -4.27330540e-04 
 6.91830971e-01 -1.99621917e-03 -4.37284346e-04 
 7.07945784e-01 -1.99622914e-03 -4.47470006e-04 
 7.24435960e-01 -1.99623957e-03 -4.57892920e-04 
 7.41310241e-01 -1.99625049e-03 -4.68558615e-04 
 7.58577575e-01 -1.99626193e-03 -4.79472746e-04 
 7.76247117e-01 -1.99627391e-03 -4.90641100e-04 
 7.94328235e-01 -1.99628645e-03 -5.02069598e-04 
 8.12830516e-01 -1.99629958e-03 -5.13764300e-04 
 8.31763771e-01 -1.99631333e-03 -5.25731407e-04 
 8.51138038e-01 -1.99632773e-03 -5.37977263e-04 
 8.70963590e-01 -1.99634281e-03 -5.50508361e-04 
 8.91250938e-01 -1.99635860e-03 -5.63331346e-04 
 9.12010839e-01 -1.99637514e-03 -5.76453017e-04 
 9.33254301e-01 -1.99639245e-03 -5.89880331e-04 
 9.54992586e-01 -1.99641058e-03 -6.03620407e-04 
 9.77237221e-01 -1.99642956e-03 -6.17680530e-04 
 1.00000000e+00 -1.99644944e-03 -6.32068155e-04 
 1.02329299e+00 -1.99647025e-03 -6.46790911e-04 
 1.04712855e+00 -1.99649205e-03 -6.61856604e-04 
 1.07151931e+00 -1.99651487e-03 -6.77273221e-04 
 1.09647820e+00 -1.99653877e-03 -6.93048938e-04 
 1.12201845e+00 -1.99656379e-03 -7.09192118e-04 
 1.14815362e+00 -1.99659000e-03 -7.25711321e-04 
 1.17489755e+00 -1.99661743e-03 -7.42615305e-04 
 1.20226443e+00 -1.99664617e-03 -7.59913033e-04 
 1.23026877e+00 -1.99667625e-03 -7.77613676e-04 
 1.25892541e+00 -1.99670776e-03 -7.95726621e-04 
 1.28824955e+00 -1.99674075e-03 -8.14261469e-04 
 1.31825674e+00 -1.99677529e-03 -8.33228050e-04 
 1.34896288e+00 -1.99681146e-03 -8.52636418e-04 
 1.38038426e+00 -1.99684934e-03 -8.72496865e-04 
 1.41253754e+00 -1.99688900e-03 -8.92819920e-04 
 1.44543977e+00 -1.99693053e-03 -9.13616360e-04 
 1.47910839e+00 -1.99697401e-03 -9.34897211e-04 
 1.51356125e+00 -1.99701955e-03 -9.56673755e-04 
